,PSILTAF,PSILTCE,PSILTHA,PSILTHP,PSILTAT,PSILTFA,Pigments in acetone
602.3083,-1779.859375,-184.3017578,186.5703125,845.0625,0.001308053,0.000913361,8037.0625
603.30982,-4019.84375,578.4555664,1763.949219,-432.28125,0.001426008,0.000881764,2641.0625
604.31134,-30.8203125,-1012.961182,3535.246094,-112.375,0.00111335,0.000789767,3630.4375
605.31286,-360.8828125,477.2275391,-3496.648438,378.5625,0.001030677,0.000842742,7253.1875
606.31438,-1835.640625,650.9143066,992.515625,2861.4375,0.001092552,0.000743577,7313.5
607.3159,946.9453125,146.9758301,-470.5703125,2552.84375,0.001001052,0.000609818,11381
608.31742,470.046875,719.552002,-1463.886719,1565.5,0.000898365,0.000669655,10471.3125
609.31894,299.5859375,1241.005859,357.7070313,3783.375,0.000809399,0.000625907,8538.9375
610.32046,3016.554688,788.3303223,5731.238281,-288.90625,0.000725289,0.000617216,5848.75
611.32198,806.578125,971.1030273,1388.207031,2817,0.000845675,0.00054666,5558.75
612.3235,4085.601563,1628.689209,6180.082031,1097.75,0.000792523,0.000519115,10170.375
613.32502,1512.671875,94.59106445,3136.214844,4625.375,0.00070217,0.000458454,10622.6875
614.32654,8368.367188,818.5827637,5073.027344,11587.5625,0.000572128,0.000400086,23202.5625
615.32806,8096.382813,2046.513184,3715.90625,10820.28125,0.00050015,0.000444785,15803.4375
616.32958,13210.32031,1872.22583,5695.292969,9105.3125,0.000661944,0.000394277,26758
617.3311,18383.71875,2884.627197,5213.195313,13336.6875,0.000703717,0.000345223,20847.1875
618.33262,22343.69531,2858.2229,8681.035156,18768.4375,0.00053605,0.000355385,33136.1875
619.33414,21856.86719,4783.27002,6244.824219,18147,0.000393939,0.000277109,48233.875
620.33566,24629.04688,6742.413086,12023.58203,20344.75,0.000458808,0.000291075,43841.9375
621.33718,32419.16406,6529.166504,7319.003906,22847.5,0.000288374,0.000250243,50962
622.3387,28725.07031,7403.540039,15674.55859,29840.4375,0.000394463,0.000257074,62947.125
623.34022,22891.74219,7400.420898,15654.21875,36114.71875,0.000414627,0.000200609,71038.875
624.34174,36571.61719,6808.489258,15259.70703,33457.28125,0.000308965,0.0002088,77171.0625
625.34326,41793.21875,6895.59375,23742.39063,40931.53125,0.000406774,0.000218808,104730.1875
626.34478,47373.9375,10581.69629,17524.375,37082.5,0.000269831,0.000156672,128697
627.3463,53953.34375,10204.92773,14903.67578,40415.53125,0.000246659,0.000210483,134123.875
628.34782,56237.77344,9646.954102,23024.64844,40345.21875,0.000222147,0.000158498,167834.8125
629.34934,49698.27344,9547.033203,19057.78516,49850.21875,0.000233227,0.000167009,233093.75
630.35086,66756.21094,13047.00586,23145.14844,44364.6875,0.000115365,9.9878E-05,348459.3125
631.35238,59305.94531,12434.11914,21264.96094,53347.03125,0.00015062,0.000128607,470718.875
632.3539,55224.57031,12530.90039,26094.77734,47216.96875,0,0.000127468,637154.375
633.35542,64941.29688,11743.44043,12749.14453,62941.53125,0.000356333,6.56636E-05,882360.4375
634.35694,64609.29688,11673.16016,28228.95313,60314.1875,0.000249101,0.000110248,1215630.25
635.35846,53334.82031,11352.03906,25398.59375,67786.3125,0.0002775,0,1748104.5
636.35998,78744.24219,13863.51953,21319.26563,53173.96875,0.000205384,4.06288E-05,2697793.5
637.3615,70128.45313,9412.177734,23470.48828,64944.34375,0.000238295,4.44833E-05,3485513.5
638.36302,79773.375,13138.57227,29122.69141,74822,0.000329878,3.75625E-05,4831982
639.36454,80870.61719,11587.74219,33489.47656,74217.4375,0.000416535,3.99274E-05,6481349.5
640.36606,89480.85938,14489.19141,35266.26953,81323.90625,0.000571661,7.52682E-05,8630202
641.36758,81899.67188,12913.16602,32856.64063,94373.90625,0.000692292,7.53828E-05,10554265
642.3691,93434.16406,10074.20898,49146.91797,98395.28125,0.000886182,9.47167E-05,12992228
643.37062,103304.2891,13670.37012,50897.72266,115498.75,0.001019328,0.000135234,15518570
644.37214,118147.6406,15780.72461,51044.10938,131801.25,0.001525292,0.000234262,18286744
645.37366,118340.1172,15157.52734,50816.34375,126870.8125,0.001713055,0.000332309,20265726
646.37518,139052.6563,17163.44141,57484.27734,146964.9688,0.001952087,0.000404005,21895704
647.3767,140232.1563,16441.89063,70693.375,168095.75,0.002053961,0.00046368,23226252
648.37822,150316.0469,17415.50391,73109.34375,157737.8125,0.002729191,0.000500407,23997404
649.37974,170421.3906,16847.06836,85276.25,147747.1875,0.00268124,0.00063241,23243532
650.38126,168544.6719,18178.49414,92791.15625,181948.9063,0.002678051,0.000561178,23950520
651.38278,177119.9375,17737.50977,85319.45313,181908.8125,0.003153864,0.000628525,22860388
652.3843,182527,17853.08789,103384.9219,203884.125,0.003239208,0.000643619,22045220
653.38582,186887.9688,15361.6416,91934.84375,177542.2813,0.003202505,0.000648877,20389828
654.38734,184353.4688,21105.92383,106761.1875,186258.9375,0.003049078,0.000549157,18855220
655.38886,183539.125,18373.38672,95549.85938,181674.75,0.003466515,0.000535593,17780428
656.39038,190689.6563,19587.72656,101405.4375,193433.9063,0.003137833,0.000427452,16640468
657.3919,155397.9375,19300.88867,99717.79688,188475.1875,0.002790063,0.000400419,15919273
658.39342,173584.7813,16556.57227,86906,203976.0313,0.002512133,0.000307983,15077614
659.39494,155815.4063,17005.4043,73384.59375,196714.0313,0.002123819,0.00021935,15580070
660.39646,165783.3125,18106.83008,81286.85938,201196.5625,0.002134268,0.000265713,16046601
661.39798,146224.7031,15200.1709,86679.4375,217512.5625,0.001766496,0.000108255,16709786
662.3995,151098.2813,11886.05176,91914.46094,240684.7188,0.001603371,8.0265E-05,18258328
663.40102,139997.8906,16795.93164,97923.21875,300735.5313,0.001308298,4.18893E-05,19861722
664.40254,143391.5625,14262.97949,106493.0625,371193.6563,0.001256522,7.65102E-05,22314442
665.40406,152801.1563,13541.71582,95591.64063,499907.2188,0.001074585,0.000204407,25064662
666.40558,117149.0313,16050.87695,112463.1563,720010.375,0.001269666,0.000465027,27623022
667.4071,173588.0625,16810.06641,161786,1056335,0.001301819,0.000727231,31724578
668.40862,188833.125,22454.86328,216525.3281,1676280.25,0.001497694,0.001385182,32888512
669.41014,235393.7188,27581.34766,354126.2813,2327998.5,0.001986349,0.002308562,39256284
670.41166,300220.8125,38888.01563,512661.125,3828803.75,0.002505317,0.00379772,45625748
671.41318,389128.9375,43977.78516,679394.25,6170607.5,0.003428623,0.005710471,50316284
672.4147,525174.75,67978.10938,1069543.375,9064989,0.004830429,0.008828045,55773244
673.41622,784373.375,96696.3125,1694403.5,13745750,0.006319925,0.0137545,60396640
674.41774,1086496.25,133853.5469,2517734.5,21103474,0.008914783,0.020309337,64025044
675.41926,1443529.5,201176.5156,3208785.5,29787624,0.012051255,0.027510626,67236080
676.42078,1962177.5,252508.9531,4085347.5,38587172,0.016304303,0.034861214,68918960
677.4223,2349670.75,287622.9375,4774312.5,44637052,0.018951897,0.039345213,69367168
678.42382,2503008.25,314201.9063,5194204.5,47414060,0.021174438,0.042430186,68571616
679.42534,2529009.25,308657.25,5318478,45772244,0.022771219,0.042738996,65231236
680.42686,2607708.5,311892.3438,5166653.5,45185848,0.023577174,0.040548174,58988316
681.42838,2530008.5,274228.4688,4845017,39800784,0.022942398,0.039009925,57885296
682.4299,2336564,252559.0469,4447396,34628464,0.024024203,0.036924868,52554964
683.43142,2186687.25,205967.1719,4234924,30335248,0.024707775,0.035797642,47788140
684.43294,1836883.5,195656.5781,3837317.25,25311512,0.024563335,0.035890004,42949268
685.43446,1777986,171295.9531,3472153.25,22500912,0.023397496,0.0351765,37447216
686.43598,1657846.375,136134.9375,3148285.75,18914958,0.024228416,0.034878314,33629852
687.4375,1565407.75,133171.8438,2735294,16946046,0.022829316,0.033914953,29857314
688.43902,1381414.75,102689.0469,2543462.5,13296089,0.022140645,0.03396371,26066334
689.44054,1297067.75,96990.89844,2387332.5,12384822,0.023231068,0.033236802,23135680
690.44206,1192492.25,92690.34375,2172413,11135881,0.023031018,0.033918531,19493958
691.44358,1048159.375,91410.17188,2044107.875,9439132,0.024023134,0.034100231,18749178
692.4451,1031697.75,85626.54688,1925401.75,9441106,0.0243915,0.035286328,17492858
693.44662,958573,73714.25,1772508,8671989,0.024343009,0.036163035,15800828
694.44814,923234.3125,67819.09375,1721690,7856008,0.022419665,0.036548921,15041974
695.44966,818696.5,62814.67188,1715459,7543029.5,0.02255984,0.036984216,13981184
696.45118,837655.8125,77947.78906,1524969.5,6910442.5,0.021198003,0.03566657,12912553
697.4527,752851.1875,54481.69922,1470767.125,6146145,0.023772478,0.034853403,12680591
698.45422,733725,52512.29688,1384842.875,5508481,0.02429183,0.034094332,12026314
699.45574,711695.4375,59747.75391,1332316.375,4705470,0.024167616,0.032752773,12244170
700.45726,691344.6875,50032.51953,1293713.5,4611801.5,0.025771958,0.03133128,11786178
701.45878,795093.5625,53940.61719,1218827,4377920.5,0.02899125,0.030038079,11545270
702.4603,748157.6875,45959.46875,1168351.5,4134006,0.032534844,0.02940364,11607171
703.46182,837876.3125,45559.05859,1164564.875,3872213.75,0.038893341,0.02946479,11451865
704.46334,774324.9375,45228.10156,1177443.375,3549481.5,0.045276804,0.029937531,10904958
705.46486,887673.6875,36158.01172,1167824.5,3358096.5,0.050741271,0.030465441,11384885
706.46638,984030.3125,43946.62109,1115474.625,2987347.75,0.062217063,0.031026932,11416732
707.4679,1135769,50489.67578,1183736.25,2691163.25,0.080186102,0.032509388,11186794
708.46942,1283127.125,45582.81641,1124579.25,2946063.25,0.096940088,0.035593999,11185094
709.47094,1315124.5,42930.3125,1220485.625,2875077.5,0.118969133,0.038749207,11083363
710.47246,1528824.25,56980.38281,1365979,2833682,0.144840338,0.043021538,11170068
711.47398,1735265,53282.89063,1458729.75,2992663.75,0.169133422,0.045868853,11145176
712.4755,2107802,61292.03906,1605450.375,3146388.25,0.205636499,0.050168786,11222887
713.47702,2380759.5,69087.47656,1764274.5,2981915.5,0.236808529,0.055097181,11091292
714.47854,2703096.75,64341.69141,1946593.25,3251775,0.281254584,0.059176851,10975322
715.48006,3188939.5,61739.49219,2212720,3284067.75,0.328119519,0.065890394,10881859
716.48158,3550804.5,83888.47656,2397261.75,3321794.75,0.386644759,0.0699136,10108021
717.4831,3910805.25,83832.25,2604607.25,3373218,0.451414763,0.075914444,10785362
718.48462,4554048.5,88576.42969,2900278.25,3399747.5,0.494397901,0.085054347,10709548
719.48614,5010040,101178.8359,3024057,3047751.5,0.564743469,0.090736112,10778826
720.48766,5806773,96618.36719,3315841.75,3474060.25,0.598457718,0.100276942,10564344
721.48918,6212568,103017.3438,3642680.25,3502800.5,0.642764805,0.110476253,11046004
722.4907,7063849,107367.2109,3966666,3532821.75,0.702541731,0.120656941,10627372
723.49222,7451087.5,145766.6563,4290256.5,3872415,0.765150974,0.133790447,10658908
724.49374,7319385.5,118687.7969,4465514.5,4104670.5,0.841311391,0.149824347,11229316
725.49526,9110157,148158.125,4734705,4250396.5,0.906153527,0.165619804,10914364
726.49678,9523741,144783.5625,5065895.5,4427982,0.894797316,0.183258494,9899214
727.4983,9911985,184637.8594,5358628.5,4213424,0.913254526,0.202242994,10967789
728.49982,11081737,170224.0781,5666180.5,4572471.5,0.966488872,0.223112113,11042188
729.50134,11762757,191819.4375,5745990,4774919.5,0.938865838,0.246592533,10781827
730.50286,12518667,209144.6719,5813270,4694953.5,0.967446144,0.272505608,11163032
731.50438,12879137,209493.1875,6046147.5,5055395.5,0.952844181,0.303071041,10977661
732.5059,12948062,210617.9375,5892788.5,5235469,1,0.335335142,11353975
733.50742,12569265,220573.8594,6323823,5409533.5,0.985867583,0.368928345,11358641
734.50894,13843096,247502.5625,6501075.5,5536373.5,0.970299911,0.41008445,10958604
735.51046,14847995,224060.4844,6328302,5788360.5,0.971442386,0.450613532,11353958
736.51198,14988751,252013.4063,6445936.5,6625600.5,0.950540333,0.482879673,11225514
737.5135,13966207,268180.9688,6533169,6088842.5,0.926471329,0.530441986,10738163
738.51502,14535988,259772.8906,6446297.5,6124889,0.887158301,0.583815304,10757388
739.51654,14316853,257868.7344,6354787.5,6117567,0.856355956,0.632664283,9734408
740.51806,14449810,279746.4063,6095379.5,6177406.5,0.831639791,0.676688171,10279294
741.51958,14202874,276255.2813,6362415,6017544.5,0.770165109,0.732249728,9871722
742.5211,14626193,286762.7188,5865405,5964941,0.772026879,0.77358448,9785055
743.52262,13357279,279283.125,5795444,5587311.5,0.727410466,0.824119203,9467624
744.52414,13883653,266394.625,5434401,5092575,0.686822732,0.859001969,8989362
745.52566,14247687,270584.625,5517104,5359192,0.644027282,0.903653915,8534868
746.52718,13688339,255941.9219,5313364.5,5182272,0.611354078,0.930097193,8541302
747.5287,13111714,228691.5156,5186586,4959699,0.597157049,0.963596918,7940585.5
748.53022,11990487,263269.0625,4933855.5,4761982,0.554553472,0.963531977,7725579.5
749.53174,10061803,244433.7188,4703543,4582800.5,0.520372555,0.99527031,7322432.5
750.53326,10242787,229699.0469,4404133.5,4233452.5,0.49244474,0.996813516,6830733
751.53478,10766571,229421,4345906,4149479.75,0.466419045,0.990832854,5806591
752.5363,10845213,210990.0781,4058179.75,3986711.5,0.425791648,0.996760167,6201957.5
753.53782,10405353,204058.875,4018668.5,3867138.25,0.412633178,0.998441535,5983106
754.53934,9218939,200389.1875,3863629.75,3632858.5,0.390635016,1,5492212.5
755.54086,8734229,180464.7188,3499975.75,3724367.75,0.360808092,0.951790258,4614700.5
756.54238,8357466,160519.0156,3225895.5,3260175.5,0.32137771,0.93572476,5026826
757.5439,7884376,196162.1719,3013408,3389082.5,0.317248975,0.922712435,4380112.5
758.54542,7619819,168841.0469,2833467.5,3215707.25,0.291333211,0.878577946,4213013
759.54694,7353023.5,141810.9219,2865339.25,3113393,0.264659666,0.83599104,4324154
760.54846,6611762,149580.7344,2676601.25,2893336,0.247896762,0.807536543,3676535.5
761.54998,6077169,143697.5469,2585075.25,2535046.25,0.23337262,0.755626053,3504171
762.5515,6265064.5,146631.9844,2341698.25,2562289.75,0.221947891,0.725531235,3206261
763.55302,5874717,138863.8594,2223272.25,2207373,0.207821032,0.696677689,2834513.25
764.55454,5631667,124865.6016,2200379.25,2207692.5,0.206382508,0.681539285,2910757.75
765.55606,5140036.5,124016.125,2031898.875,2042291.5,0.191328558,0.631158043,2858434.75
766.55758,4941320.5,98420.26563,1874083.375,1814223.125,0.183069961,0.600458883,2412781.25
767.5591,4450543,112578.7891,1692672,1849491.125,0.171725342,0.570603247,2375928.25
768.56062,4355603.5,100676.3594,1604081.75,1588915.5,0.16184565,0.550350949,2530630.5
769.56214,4158251.25,90549.74219,1485278.5,1460628.25,0.15947101,0.511492707,2281523.5
770.56366,3845348.25,86308.48438,1507910.25,1575191,0.153388069,0.487680721,2173712.5
771.56518,3953197.5,83208.19531,1443841.125,1403215.75,0.143099143,0.458263584,2222855.5
772.5667,3617651.75,75379.45313,1458576.5,1262380.125,0.142075559,0.440701102,1976025.5
773.56822,3263986.25,79618.8125,1277902.625,1190702.375,0.137699201,0.406734371,1905515.75
774.56974,3022250.75,60777.76953,1305873.25,1146172.125,0.13100106,0.37590808,1888270.75
775.57126,3047419.25,63585.68359,1228369.875,1174808.125,0.1229336,0.361434493,1779834
776.57278,2966510.75,56630.92578,1215784.625,1048688.25,0.120737001,0.341306311,1773102.375
777.5743,2845445.25,68633.59375,1090676.875,951670.875,0.114236962,0.322037029,1747283.75
778.57582,2651591.5,57938.39063,1135175,988879.375,0.110092361,0.307826016,1648817.5
779.57734,2604312,74795.49219,966932.875,883746.625,0.11023096,0.286481787,1426919.25
780.57886,2397701.5,50972.98438,1018746.688,957987.375,0.111739123,0.275919031,1332531
781.58038,2527963.75,51006.35938,999347.375,862922.5625,0.114753135,0.258795906,1535037.75
782.5819,2341286,42901.92578,904993.625,825043.375,0.104978781,0.242993189,1453975.25
783.58342,2334890.25,46357.74609,941073.125,889924.125,0.102522935,0.233456418,1393241.5
784.58494,2079968.75,52782.33984,943074.4375,754829.5625,0.098986348,0.222685916,1594569
785.58646,2264987.25,44285.64453,930922.4375,769360.125,0.10014151,0.213642013,1455768.5
786.58798,2211268.5,52857.47266,813346.9375,740739.75,0.103005577,0.202874394,1359091
787.5895,2130446.75,50652.84766,822814.5625,744873.875,0.099290123,0.189131453,1418677
788.59102,2121255.5,52842.42188,961535.1875,736608,0.100105476,0.181903118,1415002.5
789.59254,2144581,47081.03516,862499.5,715822.875,0.098933148,0.176987698,1416533.25
790.59406,2078710.75,32286.70898,762708.0625,686083.625,0.099586295,0.165564755,1291449.25
791.59558,2046455,40895.16406,751259.5625,705832.625,0.099422787,0.161605145,1209448
792.5971,1832118.75,24237.85938,713231.125,690266.5,0.097786423,0.152491082,1310753.5
793.59862,1823040.625,45861.42578,786373.3125,699718.875,0.095047517,0.147213474,1294181.25
794.60014,1834292.75,50638.55469,789404.5625,679343.25,0.09412609,0.146179239,1292949
795.60166,1798551.875,44135.28516,806988,623306.25,0.093202751,0.139953304,1036226.188
796.60318,1552604.875,44661.99609,728301.875,606744.5,0.095140854,0.133210089,1219087.375
797.6047,1606856.75,29964.84961,755757.0625,565681.375,0.092368227,0.129567421,1210034
798.60622,1564815.75,47112.05859,697906,541259.125,0.088347781,0.125864277,1242178.75
799.60774,1660890.625,45711.82813,710858.4375,577160.5,0.092379557,0.122941534,
800.60926,1763098.25,27480.56836,650217.4375,592676,0.087356421,0.118556466,
801.61078,1452326.75,36400.24609,704364.25,568140.875,0.085822059,0.116274372,
802.6123,1732172.25,40485.43359,751075.5625,562968.375,0.085490369,0.111536202,
803.61382,,,,,0.084062725,0.111455565,
804.61534,,,,,0.080253027,0.110060724,
805.61686,,,,,0.082669561,0.105776461,
806.61838,,,,,0.081174461,0.105388582,
807.6199,,,,,0.08159465,0.102810661,
808.62142,,,,,0.079303177,0.101360039,
809.62294,,,,,0.074197731,0.099127279,
810.62446,,,,,0.073869425,0.099605745,
811.62598,,,,,0.074708812,0.100138292,
812.6275,,,,,0.07619555,0.097653354,
813.62902,,,,,0.070722814,0.097079568,
814.63054,,,,,0.070529951,0.09364676,
815.63206,,,,,0.067565444,0.093498691,
816.63358,,,,,0.066882583,0.092622387,
817.6351,,,,,0.063810519,0.090566249,
818.63662,,,,,0.062668527,0.091301041,
819.63814,,,,,0.059053681,0.092424437,
820.63966,,,,,0.058262945,0.089125666,
821.64118,,,,,0.057841167,0.088174722,
822.6427,,,,,0.055117903,0.086139454,
823.64422,,,,,0.054229775,0.08311995,
824.64574,,,,,0.050618477,0.083960508,
825.64726,,,,,0.049126214,0.081279763,
826.64878,,,,,0.046492142,0.079274186,
827.6503,,,,,0.043727351,0.076661901,
828.65182,,,,,0.043319527,0.076690572,
829.65334,,,,,0.040048037,0.075242996,
830.65486,,,,,0.03953721,0.071360207,
831.65638,,,,,0.039769784,0.069998805,
832.6579,,,,,0.035560983,0.067010389,
833.65942,,,,,0.032847255,0.066687666,
834.66094,,,,,0.033537113,0.06604423,
835.66246,,,,,0.031565521,0.061219612,
836.66398,,,,,0.029973808,0.05884482,
837.6655,,,,,0.027718475,0.05561092,
838.66702,,,,,0.027423333,0.054942495,
839.66854,,,,,0.025679244,0.052738564,
840.67006,,,,,0.024086465,0.049075007,
841.67158,,,,,0.020856736,0.049151481,
842.6731,,,,,0.021012136,0.046480724,
843.67462,,,,,0.018954037,0.04378149,
844.67614,,,,,0.016496525,0.043351729,
845.67766,,,,,0.019248488,0.038290798,
846.67918,,,,,0.015795539,0.039162596,
847.6807,,,,,0.013980418,0.033972294,
848.68222,,,,,0.015003994,0.031192714,
849.68374,,,,,0.013764486,0.028668958,
850.68526,,,,,0.009730792,0.027877106,
851.68678,,,,,0.008904393,0.025596871,
852.6883,,,,,0.006762027,0.02580261,